#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=4500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:22.95 aq:13.21 tex:680384 mv:99712 misc:6240 imb:3600 pmb:0 smb:0 d:- ref:;
in:131 out:133 type:b dur:2 cpbdur:2 q:17.48 aq:12.27 tex:25843 mv:7349 misc:3488 imb:29 pmb:1663 smb:1908 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:17.59 aq:14.55 tex:41160 mv:14351 misc:2977 imb:16 pmb:1613 smb:1971 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:17.66 aq:8.38 tex:382199 mv:25116 misc:2045 imb:618 pmb:2357 smb:625 d:- ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:17.65 aq:11.76 tex:103001 mv:19548 misc:3019 imb:28 pmb:2155 smb:1417 d:- ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:17.65 aq:13.36 tex:70826 mv:18118 misc:2944 imb:54 pmb:2378 smb:1168 d:- ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:17.66 aq:14.12 tex:10328 mv:3681 misc:2943 imb:8 pmb:981 smb:2611 d:- ref:0 ;
in:141 out:139 type:P dur:2 cpbdur:2 q:17.68 aq:7.90 tex:418434 mv:25443 misc:2099 imb:585 pmb:2359 smb:656 d:- ref:0 ;
in:139 out:140 type:B dur:2 cpbdur:2 q:17.67 aq:12.64 tex:96614 mv:21034 misc:3056 imb:67 pmb:2085 smb:1448 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:17.67 aq:13.67 tex:34223 mv:12399 misc:2858 imb:26 pmb:1129 smb:2445 d:- ref:0 ;
in:145 out:142 type:P dur:2 cpbdur:2 q:17.78 aq:8.27 tex:337401 mv:24517 misc:2394 imb:529 pmb:2231 smb:840 d:- ref:0 ;
in:143 out:143 type:B dur:2 cpbdur:2 q:17.73 aq:12.21 tex:54734 mv:15178 misc:3168 imb:27 pmb:1491 smb:2082 d:- ref:0 ;
