#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:22.04 aq:20.77 tex:2037126 mv:80618 misc:6016 imb:3600 pmb:0 smb:0 d:- ref:;
in:66 out:66 type:B dur:2 cpbdur:2 q:31.84 aq:30.76 tex:91490 mv:23975 misc:2703 imb:1712 pmb:1123 smb:765 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:31.85 aq:31.20 tex:105907 mv:12852 misc:3177 imb:711 pmb:1592 smb:1297 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:31.84 aq:30.53 tex:58386 mv:18522 misc:3324 imb:1217 pmb:1092 smb:1291 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:31.94 aq:31.25 tex:303856 mv:21631 misc:497 imb:3161 pmb:404 smb:35 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:31.89 aq:31.08 tex:83124 mv:25182 misc:2590 imb:2060 pmb:787 smb:753 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:31.86 aq:31.36 tex:128693 mv:17174 misc:2845 imb:1054 pmb:1498 smb:1048 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:31.91 aq:31.45 tex:145276 mv:16313 misc:2923 imb:921 pmb:1511 smb:1168 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:31.98 aq:30.89 tex:255470 mv:22928 misc:578 imb:3108 pmb:437 smb:55 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:31.96 aq:31.13 tex:122143 mv:24649 misc:2576 imb:1812 pmb:1025 smb:763 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:31.95 aq:31.07 tex:65224 mv:16308 misc:3308 imb:1192 pmb:1083 smb:1325 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:31.97 aq:31.13 tex:62611 mv:16391 misc:3430 imb:994 pmb:1260 smb:1346 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:32.16 aq:31.25 tex:234172 mv:22982 misc:694 imb:3088 pmb:436 smb:76 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:32.07 aq:31.40 tex:127620 mv:22204 misc:2864 imb:1546 pmb:1159 smb:895 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:32.03 aq:31.32 tex:93592 mv:16084 misc:3268 imb:1042 pmb:1291 smb:1267 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:32.12 aq:31.59 tex:54507 mv:13566 misc:3479 imb:917 pmb:1046 smb:1637 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:32.11 aq:31.00 tex:173669 mv:22097 misc:690 imb:3101 pmb:428 smb:71 d:- ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:32.14 aq:31.47 tex:95182 mv:19112 misc:3146 imb:1216 pmb:1302 smb:1082 d:- ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:32.15 aq:31.33 tex:62224 mv:14298 misc:3382 imb:889 pmb:1275 smb:1436 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:32.12 aq:31.69 tex:33042 mv:10116 misc:3610 imb:586 pmb:1144 smb:1870 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:31.97 aq:30.66 tex:198004 mv:22944 misc:620 imb:3054 pmb:488 smb:58 d:- ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:32.04 aq:31.70 tex:140378 mv:17909 misc:2937 imb:1045 pmb:1633 smb:922 d:- ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:32.07 aq:31.16 tex:44020 mv:14952 misc:3484 imb:867 pmb:1275 smb:1458 d:- ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:32.01 aq:31.63 tex:119404 mv:14535 misc:3213 imb:882 pmb:1415 smb:1303 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:31.84 aq:30.94 tex:213152 mv:22612 misc:572 imb:3108 pmb:439 smb:53 d:- ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:31.91 aq:31.08 tex:119334 mv:21200 misc:2778 imb:1383 pmb:1353 smb:864 d:- ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:31.94 aq:31.41 tex:54013 mv:12573 misc:3494 imb:723 pmb:1250 smb:1627 d:- ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:31.88 aq:31.32 tex:71049 mv:13170 misc:3405 imb:763 pmb:1380 smb:1457 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:31.82 aq:30.88 tex:187777 mv:22326 misc:657 imb:3084 pmb:442 smb:74 d:- ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:31.83 aq:30.98 tex:111861 mv:19574 misc:2717 imb:1255 pmb:1499 smb:846 d:- ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:31.84 aq:31.37 tex:88634 mv:13264 misc:3406 imb:739 pmb:1467 smb:1394 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:31.82 aq:31.33 tex:74578 mv:12189 misc:3449 imb:646 pmb:1551 smb:1403 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:31.68 aq:30.65 tex:145052 mv:23132 misc:656 imb:3091 pmb:434 smb:75 d:- ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:31.75 aq:31.13 tex:112660 mv:17144 misc:2820 imb:958 pmb:1711 smb:931 d:- ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:31.78 aq:31.12 tex:52817 mv:13252 misc:3499 imb:750 pmb:1434 smb:1416 d:- ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:31.72 aq:31.08 tex:61081 mv:12087 misc:3384 imb:621 pmb:1622 smb:1357 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:31.56 aq:30.54 tex:194161 mv:23005 misc:514 imb:3108 pmb:451 smb:41 d:- ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:31.62 aq:31.60 tex:145545 mv:17172 misc:2843 imb:951 pmb:1799 smb:850 d:- ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:31.65 aq:30.77 tex:77215 mv:15747 misc:3214 imb:884 pmb:1509 smb:1207 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:31.59 aq:31.06 tex:130142 mv:16156 misc:2982 imb:939 pmb:1552 smb:1109 d:- ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:31.46 aq:30.72 tex:186566 mv:23403 misc:607 imb:3081 pmb:467 smb:52 d:- ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:31.51 aq:30.97 tex:120149 mv:20628 misc:2751 imb:1252 pmb:1533 smb:815 d:- ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:31.53 aq:30.37 tex:67360 mv:15692 misc:3164 imb:861 pmb:1584 smb:1155 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:31.48 aq:30.72 tex:65576 mv:14557 misc:3219 imb:818 pmb:1547 smb:1235 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:31.44 aq:30.79 tex:250987 mv:23081 misc:748 imb:2977 pmb:540 smb:83 d:- ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:31.45 aq:30.56 tex:107048 mv:21745 misc:2631 imb:1291 pmb:1566 smb:743 d:- ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:31.45 aq:30.96 tex:79725 mv:12445 misc:3350 imb:688 pmb:1575 smb:1337 d:- ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:31.45 aq:31.13 tex:83790 mv:15174 misc:3260 imb:821 pmb:1505 smb:1274 d:- ref:0 ;
in:116 out:113 type:P dur:2 cpbdur:2 q:31.39 aq:30.27 tex:212203 mv:23669 misc:600 imb:3076 pmb:466 smb:58 d:- ref:0 ;
in:114 out:114 type:B dur:2 cpbdur:2 q:31.42 aq:30.48 tex:117184 mv:23954 misc:2494 imb:1529 pmb:1388 smb:683 d:- ref:0 ;
in:113 out:115 type:b dur:2 cpbdur:2 q:31.43 aq:30.62 tex:76396 mv:16300 misc:3128 imb:972 pmb:1432 smb:1196 d:- ref:0 ;
in:115 out:116 type:b dur:2 cpbdur:2 q:31.40 aq:31.02 tex:47051 mv:13060 misc:3489 imb:726 pmb:1440 smb:1434 d:- ref:0 ;
in:120 out:117 type:P dur:2 cpbdur:2 q:31.33 aq:30.30 tex:253530 mv:22506 misc:540 imb:3110 pmb:441 smb:49 d:- ref:0 ;
in:118 out:118 type:B dur:2 cpbdur:2 q:31.36 aq:31.00 tex:120238 mv:22571 misc:2807 imb:1512 pmb:1266 smb:822 d:- ref:0 ;
in:117 out:119 type:b dur:2 cpbdur:2 q:31.37 aq:30.95 tex:53410 mv:14033 misc:3477 imb:808 pmb:1418 smb:1374 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:31.35 aq:31.00 tex:145115 mv:16048 misc:2813 imb:912 pmb:1709 smb:979 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:31.28 aq:30.35 tex:245293 mv:23498 misc:625 imb:3010 pmb:526 smb:64 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:31.31 aq:30.51 tex:132159 mv:24376 misc:2441 imb:1627 pmb:1289 smb:684 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:31.32 aq:30.17 tex:84430 mv:17944 misc:2882 imb:1054 pmb:1515 smb:1031 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:31.30 aq:30.41 tex:109052 mv:17045 misc:2863 imb:995 pmb:1579 smb:1026 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:31.31 aq:30.72 tex:196947 mv:22806 misc:671 imb:3087 pmb:431 smb:82 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:31.30 aq:30.73 tex:136402 mv:23012 misc:2610 imb:1439 pmb:1414 smb:747 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:31.29 aq:30.41 tex:88275 mv:18662 misc:3023 imb:1061 pmb:1497 smb:1042 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:31.31 aq:30.28 tex:81559 mv:16981 misc:2972 imb:968 pmb:1583 smb:1049 d:- ref:0 ;
in:132 out:129 type:P dur:2 cpbdur:2 q:31.30 aq:30.80 tex:216273 mv:22804 misc:699 imb:3032 pmb:490 smb:78 d:- ref:0 ;
in:130 out:130 type:B dur:2 cpbdur:2 q:31.31 aq:30.76 tex:174973 mv:21373 misc:2430 imb:1331 pmb:1564 smb:705 d:- ref:0 ;
in:129 out:131 type:b dur:2 cpbdur:2 q:31.31 aq:31.22 tex:119706 mv:14733 misc:2993 imb:885 pmb:1641 smb:1074 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:31.30 aq:30.78 tex:83513 mv:16531 misc:3132 imb:1050 pmb:1372 smb:1178 d:- ref:0 ;
in:136 out:133 type:P dur:2 cpbdur:2 q:31.31 aq:30.29 tex:258413 mv:23480 misc:771 imb:3048 pmb:476 smb:76 d:- ref:0 w:6,61,3,7,121,6,121,7 ;
in:134 out:134 type:B dur:2 cpbdur:2 q:31.30 aq:30.60 tex:139343 mv:23433 misc:2440 imb:1554 pmb:1355 smb:691 d:- ref:0 ;
